politybelligerent,modernctrylocation,newid,distance,conflict,conflictname,city,province,parliamentoflocation,cstart,cend,cduration,major,navalbattle,battletype,sideabelligerent1,sideabelligerent2,sideabelligerent3,sideabelligerent4,sidebbelligerent1,sidebbelligerent2,sidebbelligerent3,sidebbelligerent4,Belligerent.Allies,polityvictor,battledraw,victorname,belligerentvictor,parlpresence,resources,notes,ac
Austria,France,995,992,1,valenciennes (famacs),valenciennes,nord,France,1793,1793,1,0,0,battle,France,,,,Austria,Prussia,England,Holland,3,0,0,"Austria, Prussia, England, Holland",1,2,"Clodfelter p. 104, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""","""The next French Commander, General Adan Philippe Custine, had even less luck with the enemy…He was defeated at Valenciennes (Famacs) on May 21-23..""",
England,France,996,993,1,hondschoote,hondschoote,nord,France,1793,1793,1,1,0,battle,France,,,,England,Hanover,Hesse,,2,1,0,France,0,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""","""The new commander of the North, Jean-Nicolas Houchard (French general), led his 42,600 men to victory at Hondschoote""",
Austria,France,997,994,1,maubeuge,maubeuge,nord,France,1793,1793,1,0,0,siege,France,,,,Austria,,,,0,1,0,France,0,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""","""Jean Baptiste Jourdan took over the perilious command… With 50,000 men, he relieved beseiged Maubeuge by defeating 30,000 Austrians under Saxe-Coburg at Wattignies on October 15-16""",
Austria,France,998,995,1,wattignies,wattignies-la-victoire,nord,France,1793,1793,1,1,0,battle,France,,,,Austria,,,,0,1,0,France,0,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""","""Jean Baptiste Jourdan took over the perilious command… With 50,000 men, he relieved beseiged Maubeuge by defeating 30,000 Austrians under Saxe-Coburg at Wattignies on October 15-16""",
Prussia,germany,999,996,1,kaiserslautern,kaiserslautern,rhineland-palatinate,palatinate,1793,1793,1,0,0,battle,France,,,,Prussia,,,,0,,0,Prussia,1,1,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",,
Austria,belgium,980,977,1,menin,menen,belgium,Belgium,1793,1793,1,0,0,battle,France,,,,Holland,Austria,,,1,,0,France,0,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",,
Catholics,France,982,979,1,nantes,nantes,loire-atlantique,France,1793,1793,1,0,0,siege,Republicans,,,,Clergymen,Catholics,Vendeens,,2,0,0,Republicans,0,3,"Clodfelter p. 113, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  Vendee Revolt, 1793-96""","""Cathelineau…was killed in an unsuccessful attack on Nantes, June 29.""",
Prussia,France,994,991,1,geisberg,wissembourg,bas-rhin,France,1793,1793,1,0,0,battle,France,,,,Austria,Prussia,Bavaria,Hesse,3,1,0,France,0,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""",,
Prussia,France,995,992,1,valenciennes (famacs),valenciennes,nord,France,1793,1793,1,0,0,battle,France,,,,Austria,Prussia,England,Holland,3,0,0,"Austria, Prussia, England, Holland",1,2,"Clodfelter p. 104, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""","""The next French Commander, General Adan Philippe Custine, had even less luck with the enemy…He was defeated at Valenciennes (Famacs) on May 21-23..""",
Hanover,France,996,993,1,hondschoote,hondschoote,nord,France,1793,1793,1,1,0,battle,France,,,,England,Hanover,Hesse,,2,1,0,France,0,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""","""The new commander of the North, Jean-Nicolas Houchard (French general), led his 42,600 men to victory at Hondschoote""",
Vendeens,France,982,979,1,nantes,nantes,loire-atlantique,France,1793,1793,1,0,0,siege,Republicans,,,,Clergymen,Catholics,Vendeens,,2,0,0,Republicans,0,3,"Clodfelter p. 113, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  Vendee Revolt, 1793-96""","""Cathelineau…was killed in an unsuccessful attack on Nantes, June 29.""",
Bavaria,France,994,991,1,geisberg,wissembourg,bas-rhin,France,1793,1793,1,0,0,battle,France,,,,Austria,Prussia,Bavaria,Hesse,3,1,0,France,0,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""",,
England,France,995,992,1,valenciennes (famacs),valenciennes,nord,France,1793,1793,1,0,0,battle,France,,,,Austria,Prussia,England,Holland,3,0,0,"Austria, Prussia, England, Holland",1,2,"Clodfelter p. 104, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""","""The next French Commander, General Adan Philippe Custine, had even less luck with the enemy…He was defeated at Valenciennes (Famacs) on May 21-23..""",
Hesse,France,996,993,1,hondschoote,hondschoote,nord,France,1793,1793,1,1,0,battle,France,,,,England,Hanover,Hesse,,2,1,0,France,0,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""","""The new commander of the North, Jean-Nicolas Houchard (French general), led his 42,600 men to victory at Hondschoote""",
Hesse,France,994,991,1,geisberg,wissembourg,bas-rhin,France,1793,1793,1,0,0,battle,France,,,,Austria,Prussia,Bavaria,Hesse,3,1,0,France,0,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""",,
Holland,France,995,992,1,valenciennes (famacs),valenciennes,nord,France,1793,1793,1,0,0,battle,France,,,,Austria,Prussia,England,Holland,3,0,0,"Austria, Prussia, England, Holland",1,2,"Clodfelter p. 104, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""","""The next French Commander, General Adan Philippe Custine, had even less luck with the enemy…He was defeated at Valenciennes (Famacs) on May 21-23..""",
Russia,belarus,1000,997,1,brest,brest,belarus,,1794,1794,1,0,0,battle,Russia,,,,Poland,,,,0,,0,Russia,1,0,"Clodfelter p. 103, ""Eighteenth Century - Eastern Europe - Polish rebellion, 1794""","In 1794, Poland did not technically exist -- this refers to Polish rebellion against Russia -- failed attempt to liberate Poland",
France,belgium,1001,998,1,tournai,tournai,belgium,Belgium,1794,1794,1,1,0,battle,France,,,,Austria,England,Hanover,,0,,1,,0,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",,
France,belgium,1002,999,1,erquelinnes,erquelinnes,belgium,Belgium,1794,1794,1,0,0,battle,France,,,,Austria,Holland,,,0,,0,"Austria, Holland",0,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",,
France,belgium,1003,1000,1,charleroi,charleroi,belgium,Belgium,1794,1794,1,1,0,siege,France,,,,Austria,,,,0,,0,France,1,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",,
France,belgium,1004,1001,1,fleurus,fleurus,belgium,Belgium,1794,1794,1,1,0,battle,France,,,,Austria,Holland,Brunswick,England,0,,0,France,1,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",,
France,France,1005,1002,1,saorgio,saorge,alpes-maritimes,France,1794,1794,1,0,0,battle,France,,,,Austria,Sardinia,,,0,1,0,France,1,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""","""On the Italian Front, Andre Massena (French commander) with the 20,000-man Army of Italy defeated an Austrian Sardinian force of 8,000 at Saorgio…""",
France,France,1006,1003,1,le cateau (troisvilles),beaumont-en-cambrésis,nord,France,1794,1794,1,0,0,battle,France,,,,Austria,England,,,0,0,0,"Austria, England",0,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""","""At Le Cateau (Troisvilles), Saxe-Coburg with 22,000 men defeated the 40,000-man French Army of the Ardennes.""",
France,France,1007,1004,1,tourcoing,tourcoing,nord,France,1794,1794,1,1,0,battle,France,,,,England,Austria,,,0,1,0,England,0,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""",,
France,France,1008,1005,1,lambusart,lambersart,nord,France,1794,1794,1,0,0,battle,France,,,,Austria,,,,0,0,0,Austria,0,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""","""An assault on an Allied relief army of 41,000 at Lambusart near Charleroi on June 16 failed…""",
Poland,Poland,1009,1006,1,cracow2,kraków,Poland,Poland,1794,1794,1,0,0,siege,Poland,,,,Russia,,,,0,1,0,Poland,1,1,"Clodfelter, p. 103, ""Eighteenth Century - Eastern Europe - Polish Rebellion, 1794""",,
Poland,Poland,1010,1007,1,raclawice,rac?awice (miechów),Poland,Poland,1794,1794,1,0,0,battle,Poland,,,,Russia,,,,0,1,0,Poland,1,1,"Clodfelter, p. 103, ""Eighteenth Century - Eastern Europe - Polish Rebellion, 1794""",,
Poland,Poland,1011,1008,1,warsaw2,warsaw,Poland,Poland,1794,1794,1,0,0,siege,Poland,,,,Russia,,,,0,1,0,Poland,1,1,"Clodfelter, p. 103, ""Eighteenth Century - Eastern Europe - Polish Rebellion, 1794""",,
Poland,Poland,1012,1009,1,szcezekrina,szczekociny,Poland,Poland,1794,1794,1,0,0,battle,Poland,,,,Russia,,,,0,0,0,Russia,0,1,"Clodfelter, p. 103, ""Eighteenth Century - Eastern Europe - Polish Rebellion, 1794""",,
Poland,Poland,1013,1010,1,krupshchitse,krupczyce,Poland,Poland,1794,1794,1,0,0,battle,Poland,,,,Russia,,,,0,0,0,Russia,0,1,"Clodfelter, p. 103, ""Eighteenth Century - Eastern Europe - Polish Rebellion, 1794""",,
Poland,Poland,1014,1011,1,maciejowice,maciejowice,Poland,Poland,1794,1794,1,0,0,battle,Poland,,,,Russia,,,,0,0,0,Russia,0,1,"Clodfelter, p. 103, ""Eighteenth Century - Eastern Europe - Polish Rebellion, 1794""",,
France,bay of biscay,2056,56n,1,ushant,740 km west of ushant,bay of biscay,,1794,1794,1,1,1,battle,France,,,,England,,,,0,,1,,0,2,"Clodfelter p. 109, ""Eighteenth Century - French Revolutionary Wars - War of the first Coalition, 1792-7""",,
Poland,Poland,1015,1012,1,kobilka,kobilka (24 km ne of warsaw),Poland,Poland,1794,1794,1,0,0,battle,Poland,,,,Russia,,,,0,0,0,Russia,0,1,"Clodfelter, p. 103, ""Eighteenth Century - Eastern Europe - Polish Rebellion, 1794""",,
France,Spain,1016,1013,1,campmany (montagne noir),capmany,catalonia,catalonia,1794,1794,1,1,0,battle,France,,,,Castile,,,,0,0,0,France,1,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",,
Poland,belarus,1000,997,1,brest,brest,belarus,,1794,1794,1,0,0,battle,Russia,,,,Poland,,,,0,,0,Russia,0,0,"Clodfelter p. 103, ""Eighteenth Century - Eastern Europe - Polish rebellion, 1794""","In 1794, Poland did not technically exist -- this refers to Polish rebellion against Russia -- failed attempt to liberate Poland",
Austria,belgium,1001,998,1,tournai,tournai,belgium,Belgium,1794,1794,1,1,0,battle,France,,,,Austria,England,Hanover,,2,,1,,0,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",,
Austria,belgium,1002,999,1,erquelinnes,erquelinnes,belgium,Belgium,1794,1794,1,0,0,battle,France,,,,Austria,Holland,,,1,,0,"Austria, Holland",1,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",,
Austria,belgium,1003,1000,1,charleroi,charleroi,belgium,Belgium,1794,1794,1,1,0,siege,France,,,,Austria,,,,0,,0,France,0,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",,
Austria,belgium,1004,1001,1,fleurus,fleurus,belgium,Belgium,1794,1794,1,1,0,battle,France,,,,Austria,Holland,Brunswick,England,3,,0,France,0,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",,
Austria,France,1005,1002,1,saorgio,saorge,alpes-maritimes,France,1794,1794,1,0,0,battle,France,,,,Austria,Piedmont,,,1,1,0,France,0,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""","""On the Italian Front, Andre Massena (French commander) with the 20,000-man Army of Italy defeated an Austrian Sardinian force of 8,000 at Saorgio…""",
Austria,France,1006,1003,1,le cateau (troisvilles),beaumont-en-cambrésis,nord,France,1794,1794,1,0,0,battle,France,,,,Austria,England,,,1,0,0,"Austria, England",1,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""","""At Le Cateau (Troisvilles), Saxe-Coburg with 22,000 men defeated the 40,000-man French Army of the Ardennes.""",
England,France,1007,1004,1,tourcoing,tourcoing,nord,France,1794,1794,1,1,0,battle,France,,,,England,Austria,,,1,1,0,England,1,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""",,
Austria,France,1008,1005,1,lambusart,lambersart,nord,France,1794,1794,1,0,0,battle,France,,,,Austria,,,,0,0,0,Austria,1,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""","""An assault on an Allied relief army of 41,000 at Lambusart near Charleroi on June 16 failed…""",
Russia,Poland,1009,1006,1,cracow2,kraków,Poland,Poland,1794,1794,1,0,0,siege,Poland,,,,Russia,,,,0,1,0,Poland,0,1,"Clodfelter, p. 103, ""Eighteenth Century - Eastern Europe - Polish Rebellion, 1794""",,
Russia,Poland,1010,1007,1,raclawice,rac?awice (miechów),Poland,Poland,1794,1794,1,0,0,battle,Poland,,,,Russia,,,,0,1,0,Poland,0,1,"Clodfelter, p. 103, ""Eighteenth Century - Eastern Europe - Polish Rebellion, 1794""",,
Russia,Poland,1011,1008,1,warsaw2,warsaw,Poland,Poland,1794,1794,1,0,0,siege,Poland,,,,Russia,,,,0,1,0,Poland,0,1,"Clodfelter, p. 103, ""Eighteenth Century - Eastern Europe - Polish Rebellion, 1794""",,
Russia,Poland,1012,1009,1,szcezekrina,szczekociny,Poland,Poland,1794,1794,1,0,0,battle,Poland,,,,Russia,,,,0,0,0,Russia,1,1,"Clodfelter, p. 103, ""Eighteenth Century - Eastern Europe - Polish Rebellion, 1794""",,
Russia,Poland,1013,1010,1,krupshchitse,krupczyce,Poland,Poland,1794,1794,1,0,0,battle,Poland,,,,Russia,,,,0,0,0,Russia,1,1,"Clodfelter, p. 103, ""Eighteenth Century - Eastern Europe - Polish Rebellion, 1794""",,
Russia,Poland,1014,1011,1,maciejowice,maciejowice,Poland,Poland,1794,1794,1,0,0,battle,Poland,,,,Russia,,,,0,0,0,Russia,1,1,"Clodfelter, p. 103, ""Eighteenth Century - Eastern Europe - Polish Rebellion, 1794""",,
England,bay of biscay,2056,56n,1,ushant,740 km west of ushant,bay of biscay,,1794,1794,1,1,1,battle,France,,,,England,,,,0,,1,,0,2,"Clodfelter p. 109, ""Eighteenth Century - French Revolutionary Wars - War of the first Coalition, 1792-7""",,
Russia,Poland,1015,1012,1,kobilka,kobilka (24 km ne of warsaw),Poland,Poland,1794,1794,1,0,0,battle,Poland,,,,Russia,,,,0,0,0,Russia,1,1,"Clodfelter, p. 103, ""Eighteenth Century - Eastern Europe - Polish Rebellion, 1794""",,
Castile,Spain,1016,1013,1,campmany (montagne noir),capmany,catalonia,catalonia,1794,1794,1,1,0,battle,France,,,,Castile,,,,0,0,0,France,0,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",,
England,belgium,1001,998,1,tournai,tournai,belgium,Belgium,1794,1794,1,1,0,battle,France,,,,Austria,England,Hanover,,2,,1,,0,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",,
Holland,belgium,1002,999,1,erquelinnes,erquelinnes,belgium,Belgium,1794,1794,1,0,0,battle,France,,,,Austria,Holland,,,1,,0,"Austria, Holland",1,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",,
Holland,belgium,1004,1001,1,fleurus,fleurus,belgium,Belgium,1794,1794,1,1,0,battle,France,,,,Austria,Holland,Brunswick,England,3,,0,France,0,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",,
Piedmont,France,1005,1002,1,saorgio,saorge,alpes-maritimes,France,1794,1794,1,0,0,battle,France,,,,Austria,Piedmont,,,1,1,0,France,0,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""","""On the Italian Front, Andre Massena (French commander) with the 20,000-man Army of Italy defeated an Austrian Sardinian force of 8,000 at Saorgio…""",
England,France,1006,1003,1,le cateau (troisvilles),beaumont-en-cambrésis,nord,France,1794,1794,1,0,0,battle,France,,,,Austria,England,,,1,0,0,"Austria, England",1,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""","""At Le Cateau (Troisvilles), Saxe-Coburg with 22,000 men defeated the 40,000-man French Army of the Ardennes.""",
Austria,France,1007,1004,1,tourcoing,tourcoing,nord,France,1794,1794,1,1,0,battle,France,,,,England,Austria,,,1,1,0,England,0,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""",,
Hanover,belgium,1001,998,1,tournai,tournai,belgium,Belgium,1794,1794,1,1,0,battle,France,,,,Austria,England,Hanover,,2,,1,,0,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",,
Brunswick,belgium,1004,1001,1,fleurus,fleurus,belgium,Belgium,1794,1794,1,1,0,battle,France,,,,Austria,Holland,Brunswick,England,3,,0,France,0,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",,
England,belgium,1004,1001,1,fleurus,fleurus,belgium,Belgium,1794,1794,1,1,0,battle,France,,,,Austria,Holland,Brunswick,England,3,,0,France,0,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",,
Republicans,France,1017,1014,1,paris,paris,france,France,1795,1795,1,0,0,battle,Republicans,,,,Royalists,,,,0,0,0,Republicans,1,3,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""","""A monarchist rising by 20,000 on October 5 was put down by Republican forces of 5,000 and cannon fire directed by Napoleon Bonaparte.""",
France,France,1018,1015,1,quiberon,quiberon,morbihan,France,1795,1795,1,0,0,battle,France,,,,England,,,,0,1,0,France,1,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""","""A British Fleet landed a force of 17,000 French emigres and royalists at Quiberon in Brittany on June 27, 1795 but the 13,000 men of the Army of the West under Hoche easily defeated the Royalists  and forced the British ground units supporting",
France,germany,1019,1016,1,mannheim,mannheim,baden,palatinate,1795,1795,1,0,0,siege,France,,,,Austria,,,,0,,0,Austria,0,2,"Clodfelter p. 106, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""","became part of Baden only in 1802, before Palatinate",
England,italy,2057,57n,1,genoa,genoa,liguria,,1795,1795,1,1,1,battle,England,Naples,,,France,,,,1,,0,"England, Naples",1,2,"Clodfelter p. 110, ""Eighteenth Century - French Revolutionary Wars - War of the first Coalition, 1792-7""",,
England,France,2058,58n,1,hyeres islands,hyeres,provence,France,1795,1795,1,1,1,battle,England,Naples,,,France,,,,1,0,0,"England, Naples",1,2,"Clodfelter p. 110, 112, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""","""The same two admirals clashed again in the Miditerranean near the Hyeres Islands off Toulon…[Admiral William] Hotham's 23 battleships prevailed over [French Admiral Pierre] Martin's 17, blowing up 1 of the French battleships.""",
England,France,2059,59n,1,ile de groix,groix,brittany,France,1795,1795,1,1,1,battle,England,,,,France,,,,0,0,0,England,1,2,"Clodfelter p. 110, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""","""In another action, off the Ile de Groix near Brest on June 23 1975, Lord Alexander Hood…beat Admiral Villaret's 12 battleships…""",
Naples,italy,2057,57n,1,genoa,genoa,liguria,,1795,1795,1,1,1,battle,England,Naples,,,France,,,,1,,0,"England, Naples",1,2,"Clodfelter p. 110, ""Eighteenth Century - French Revolutionary Wars - War of the first Coalition, 1792-7""",,
Naples,France,2058,58n,1,hyeres islands,hyeres,provence,France,1795,1795,1,1,1,battle,England,Naples,,,France,,,,1,0,0,"England, Naples",1,2,"Clodfelter p. 110, 112, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""","""The same two admirals clashed again in the Miditerranean near the Hyeres Islands off Toulon…[Admiral William] Hotham's 23 battleships prevailed over [French Admiral Pierre] Martin's 17, blowing up 1 of the French battleships.""",
France,germany,1020,1017,1,mainz,mainz,rhineland-palatinate,palatinate,1795,1795,1,0,0,battle,France,,,,Austria,,,,0,,0,Austria,0,2,"Clodfelter p. 106, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",,
France,italy,1021,1018,1,loano,loano,liguria,,1795,1795,1,1,0,battle,France,,,,Austria,Piedmont,,,0,,0,France,1,2,"Clodfelter p. 106, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",,
Royalists,France,1017,1014,1,paris,paris,france,France,1795,1795,1,0,0,battle,France,,,,Royalists,,,,0,0,0,France,0,3,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""","""A monarchist rising by 20,000 on October 5 was put down by Republican forces of 5,000 and cannon fire directed by Napoleon Bonaparte.""",
England,France,1018,1015,1,quiberon,quiberon,morbihan,France,1795,1795,1,0,0,battle,France,,,,England,,,,0,1,0,France,0,2,"Clodfelter p. 105, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""","""A British Fleet landed a force of 17,000 French emigres and royalists at Quiberon in Brittany on June 27, 1795 but the 13,000 men of the Army of the West under Hoche easily defeated the Royalists  and forced the British ground units supporting",
Austria,germany,1019,1016,1,mannheim,mannheim,baden,palatinate,1795,1795,1,0,0,siege,France,,,,Austria,,,,0,,0,Austria,1,2,"Clodfelter p. 106, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""","became part of Baden only in 1802, before Palatinate",
France,italy,2057,57n,1,genoa,genoa,liguria,,1795,1795,1,1,1,battle,England,Naples,,,France,,,,0,,0,"England, Naples",0,2,"Clodfelter p. 110, ""Eighteenth Century - French Revolutionary Wars - War of the first Coalition, 1792-7""",,
France,France,2058,58n,1,hyeres islands,hyeres,provence,France,1795,1795,1,1,1,battle,England,Naples,,,France,,,,0,0,0,"England, Naples",0,2,"Clodfelter p. 110, 112, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""","""The same two admirals clashed again in the Miditerranean near the Hyeres Islands off Toulon…[Admiral William] Hotham's 23 battleships prevailed over [French Admiral Pierre] Martin's 17, blowing up 1 of the French battleships.""",
France,France,2059,59n,1,ile de groix,groix,brittany,France,1795,1795,1,1,1,battle,England,,,,France,,,,0,0,0,England,0,2,"Clodfelter p. 110, ""Eighteenth Century - French Revolutionary Wars: 1792- 1802 -  War of the First Coalition, 1792-97""","""In another action, off the Ile de Groix near Brest on June 23 1975, Lord Alexander Hood…beat Admiral Villaret's 12 battleships…""",
Austria,germany,1020,1017,1,mainz,mainz,rhineland-palatinate,palatinate,1795,1795,1,0,0,battle,France,,,,Austria,,,,0,,0,Austria,1,2,"Clodfelter p. 106, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",,
Austria,italy,1021,1018,1,loano,loano,liguria,,1795,1795,1,1,0,battle,France,,,,Austria,Piedmont,,,1,,0,France,0,2,"Clodfelter p. 106, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",,
Piedmont,italy,1021,1018,1,loano,loano,liguria,,1795,1795,1,1,0,battle,France,,,,Austria,Piedmont,,,1,,0,France,0,2,"Clodfelter p. 106, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",,
France,germany,1022,1019,1,malsch,malsch,baden,,1796,1796,1,0,0,battle,France,,,,Austria,,,,0,,0,Austria,0,2,"Clodfelter p. 106, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",,
France,germany,1023,1020,1,neresheim,neresheim,baden,,1796,1796,1,1,0,battle,France,,,,Austria,,,,0,,0,France,1,2,"Clodfelter p. 106, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",became part of Wurttemberg in 1810,
France,germany,1024,1021,1,biberach,biberach,baden,hre,1796,1796,1,0,0,battle,France,,,,Austria,,,,0,,0,France,1,2,"Clodfelter p. 106, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",imperial free city,
France,germany,1025,1022,1,amberg,amberg,bavaria,bavaria,1796,1796,1,0,0,battle,France,,,,Austria,,,,0,,0,Austria,0,2,"Clodfelter p. 106, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",,
France,germany,1026,1023,1,wurzburg,würzburg,bavaria,,1796,1796,1,1,0,battle,France,,,,Austria,,,,0,,0,Austria,0,2,"Clodfelter p. 106, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",bishopric of wurzburg,
France,germany,1027,1024,1,wetzlar,wetzlar,hesse,,1796,1796,1,0,0,battle,France,,,,Austria,,,,0,,0,Austria,0,2,"Clodfelter p. 106, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",free imperial city,
France,germany,1028,1025,1,uckerath,bonn,north rhine-westphalia,france,1796,1796,1,0,0,battle,France,,,,Austria,,,,0,,0,Austria,0,2,"Clodfelter p. 106, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",from 1794 to 1815 belonging to France,
France,italy,1029,1026,1,montenotte,cairo montenotte,liguria,,1796,1796,1,1,0,battle,France,,,,Austria,Piedmont,,,0,,0,France,1,2,"Clodfelter p. 106, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",,
France,italy,1030,1027,1,dego,dego,liguria,,1796,1796,1,1,0,battle,France,,,,Austria,Piedmont,,,0,,0,France,1,2,"Clodfelter p. 106, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",,
France,italy,1031,1028,1,milan,milan,lombardia,,1796,1796,1,0,0,siege,France,,,,Austria,,,,0,,0,France,1,2,"Clodfelter p. 107, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",,
France,italy,1032,1029,1,bridge of lodi,lodi,lombardia,,1796,1796,1,1,0,battle,France,,,,Austria,,,,0,,0,France,1,2,"Clodfelter p. 107, ""Eighteenth Century - French Revolutionary Wars - War of the First Coalition, 1792-97""",,
